,라벨명,등장 횟수,평균 스코어,표준편차,최대 스코어,최소 스코어
160,Tap,10,0.07625025883316994,0.08959888604324115,0.1510021835565567,0.05089525133371353
161,"Violin, fiddle",10,0.17115972191095352,0.274221422838253,0.35094648599624634,0.07735628634691238
162,Meow,10,0.2057081714272499,0.5917723542534111,0.6292532682418823,0.059446003288030624
163,Steelpan,10,0.15761662274599075,0.28801797300022697,0.3589370548725128,0.06604394316673279
164,Lawn mower,9,0.09971034361256494,0.17720623814961653,0.2535483241081238,0.05163528397679329
165,Arrow,9,0.12955102365877894,0.21509253944717607,0.2759443521499634,0.05364459007978439
166,Sewing machine,9,0.21249998443656498,0.42853912020373475,0.5522279143333435,0.08653537929058075
167,Sizzle,9,0.29243702441453934,0.5664417696001217,0.5456196069717407,0.07951672375202179
168,Bathtub (filling or washing),9,0.15142414222160974,0.4474640690390088,0.5519617795944214,0.051552534103393555
169,Cap gun,9,0.17847088269061512,0.3471097017631857,0.43806391954421997,0.06098702922463417
170,"Heart sounds, heartbeat",9,0.1151628630856673,0.18207327829283876,0.20766118168830872,0.05143626034259796
171,Snoring,9,0.3078718214399285,0.8468635274092676,0.8123857975006104,0.05159234255552292
172,Throat clearing,9,0.19815905102425152,0.31934644763544645,0.3372463583946228,0.05725103244185448
173,Whip,9,0.15018492481774753,0.29014421482836594,0.31170034408569336,0.05331481620669365
174,"Motorboat, speedboat",9,0.07946824861897363,0.07172260068208734,0.1350603997707367,0.05804012343287468
175,Car passing by,9,0.061215048448907,0.024886821783408113,0.07694748789072037,0.05145183950662613
176,"Race car, auto racing",9,0.1265253842704826,0.20022951841396924,0.25601035356521606,0.06132178381085396
177,Printer,8,0.10315033467486501,0.19102537257140767,0.27883073687553406,0.05076802894473076
178,Scissors,8,0.23615758772939444,0.5266538591868711,0.5899648070335388,0.05697549134492874
179,Whale vocalization,8,0.13102779490873218,0.17503194823315077,0.2262778878211975,0.052189137786626816
180,Frying (food),8,0.279706958681345,0.5626696406076717,0.6795086860656738,0.054744526743888855
181,Vibration,8,0.0794592434540391,0.06010958803162322,0.12030091881752014,0.05853799358010292
